Indicator Code: CG1610
"Indicator Name: Ill-defined diseases"
Export date: 5/7/2024 4:55:25 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: R00-R94, R96-R99"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,HRV,Croatia,2009,All,Age_all,[All],567.00000000,1.08177205,6.68071117,12.80176145,
EU,Europe,HRV,Croatia,2010,All,Age_all,[All],501.00000000,0.96168612,5.69766236,11.34053499,
EU,Europe,HRV,Croatia,2011,All,Age_all,[All],537.00000000,1.05254905,5.83356354,12.19681711,
EU,Europe,HRV,Croatia,2012,All,Age_all,[All],558.00000000,1.07909495,5.86810279,13.07539347,
EU,Europe,HRV,Croatia,2013,All,Age_all,[All],461.00000000,0.91493669,4.82658934,10.83255849,
EU,Europe,HRV,Croatia,2014,All,Age_all,[All],382.00000000,0.75139165,3.79324528,9.01285842,
EU,Europe,CZE,Czechia,1990,All,Age_all,[All],700.00000000,0.54193828,5.21017743,6.75493110,
EU,Europe,CZE,Czechia,1991,All,Age_all,[All],717.00000000,0.57687666,5.25585934,6.95529019,
EU,Europe,CZE,Czechia,1992,All,Age_all,[All],722.00000000,0.59998172,5.23353726,6.99761577,
EU,Europe,CZE,Czechia,1993,All,Age_all,[All],630.00000000,0.53306257,4.53831134,6.09832828,
EU,Europe,CZE,Czechia,1994,All,Age_all,[All],666.00000000,0.56742181,4.62271968,6.44337377,
EU,Europe,CZE,Czechia,1995,All,Age_all,[All],590.00000000,0.50036892,3.86211890,5.71107755,
EU,Europe,CZE,Czechia,1996,All,Age_all,[All],560.00000000,0.49653313,3.63756264,5.42877639,
EU,Europe,CZE,Czechia,1997,All,Age_all,[All],620.00000000,0.54991840,4.14205562,6.01731434,
EU,Europe,CZE,Czechia,1998,All,Age_all,[All],799.00000000,0.72950049,5.03753003,7.76104905,
EU,Europe,CZE,Czechia,1999,All,Age_all,[All],665.00000000,0.60582319,4.13952553,6.46712019,
EU,Europe,CZE,Czechia,2000,All,Age_all,[All],562.00000000,0.51559160,3.52499826,5.47091590,
EU,Europe,CZE,Czechia,2001,All,Age_all,[All],660.00000000,0.61250058,4.35634700,6.41556408,
EU,Europe,CZE,Czechia,2002,All,Age_all,[All],755.00000000,0.69750469,5.05744765,7.40139915,
EU,Europe,CZE,Czechia,2003,All,Age_all,[All],720.00000000,0.64697002,4.84242670,7.05768115,
EU,Europe,CZE,Czechia,2004,All,Age_all,[All],754.00000000,0.70350915,5.03521841,7.38714302,
EU,Europe,CZE,Czechia,2005,All,Age_all,[All],924.00000000,0.85604699,6.06786809,9.02864661,
EU,Europe,CZE,Czechia,2006,All,Age_all,[All],924.00000000,0.88471003,5.83731678,9.00001812,
EU,Europe,CZE,Czechia,2007,All,Age_all,[All],1287.00000000,1.22997821,7.97363898,12.46768163,
EU,Europe,CZE,Czechia,2008,All,Age_all,[All],1525.00000000,1.45310058,9.07506037,14.62171654,
EU,Europe,CZE,Czechia,2009,All,Age_all,[All],1691.00000000,1.57418010,9.72489313,16.11782195,
EU,Europe,CZE,Czechia,2010,All,Age_all,[All],1632.00000000,1.52746060,9.45261227,15.51736876,
EU,Europe,CZE,Czechia,2011,All,Age_all,[All],1137.00000000,1.06412848,6.61657638,10.83200466,
EU,Europe,CZE,Czechia,2012,All,Age_all,[All],1170.00000000,1.08144081,6.80711649,11.13301132,
EU,Europe,CZE,Czechia,2013,All,Age_all,[All],1310.00000000,1.20007329,7.29898868,12.46346706,
EU,Europe,CZE,Czechia,2014,All,Age_all,[All],1195.00000000,1.13093266,6.55058074,11.35415334,
EU,Europe,FRA,France,1990,All,Age_all,[All],30099.00000000,5.72005754,29.17392678,53.05181449,
EU,Europe,FRA,France,1991,All,Age_all,[All],29215.00000000,5.56810277,28.07260386,51.20461867,
EU,Europe,FRA,France,1992,All,Age_all,[All],29800.00000000,5.71395701,27.91179864,51.94026521,
EU,Europe,FRA,France,1993,All,Age_all,[All],29436.00000000,5.53034872,26.43983034,51.05594716,
EU,Europe,FRA,France,1994,All,Age_all,[All],30195.00000000,5.80712163,26.59280504,52.15070942,
EU,Europe,FRA,France,1995,All,Age_all,[All],31125.00000000,5.85476790,26.53746522,53.53540045,
EU,Europe,FRA,France,1996,All,Age_all,[All],32239.00000000,6.01726471,27.24726966,55.22759821,
EU,Europe,FRA,France,1997,All,Age_all,[All],32134.00000000,6.05937181,26.45701835,54.82691491,
EU,Europe,FRA,France,1998,All,Age_all,[All],33424.00000000,6.25914087,29.01600084,56.79273303,
EU,Europe,FRA,France,1999,All,Age_all,[All],33548.00000000,6.24196450,28.35651036,57.22700010,
EU,Europe,FRA,France,2000,All,Age_all,[All],32172.00000000,6.06046906,26.96244156,54.62537827,
EU,Europe,FRA,France,2001,All,Age_all,[All],34629.00000000,6.52058478,29.07072157,58.50224818,
EU,Europe,FRA,France,2002,All,Age_all,[All],35550.00000000,6.64312143,29.67634475,59.56943813,
EU,Europe,FRA,France,2003,All,Age_all,[All],38322.00000000,6.93818063,31.77375707,63.70558544,
EU,Europe,FRA,France,2004,All,Age_all,[All],32382.00000000,6.35665336,27.10153591,53.39748419,
EU,Europe,FRA,France,2005,All,Age_all,[All],34633.00000000,6.56529849,27.81405085,56.77921591,
EU,Europe,FRA,France,2006,All,Age_all,[All],33324.00000000,6.45874035,25.95383176,54.09947348,
EU,Europe,FRA,France,2007,All,Age_all,[All],34703.00000000,6.66679474,25.89794038,56.00575412,
EU,Europe,FRA,France,2008,All,Age_all,[All],36597.00000000,6.87301164,26.45338903,58.73861485,
EU,Europe,FRA,France,2009,All,Age_all,[All],38004.00000000,7.07449967,26.94895380,60.69385030,
EU,Europe,FRA,France,2010,All,Age_all,[All],45089.00000000,8.32551664,31.42293263,71.64678480,
EU,Europe,FRA,France,2011,All,Age_all,[All],44321.00000000,8.25916650,30.56073245,70.10105031,
EU,Europe,FRA,France,2012,All,Age_all,[All],51102.00000000,9.15065216,33.73429779,80.45142092,
EU,Europe,FRA,France,2013,All,Age_all,[All],55712.00000000,10.01958524,36.55468793,87.34783633,
EU,Europe,FRA,France,2014,All,Age_all,[All],48764.00000000,8.95379881,30.83076069,76.03990701,
EU,Europe,DEU,Germany,1990,All,Age_all,[All],26313.00000000,2.85562350,19.99519023,33.15462203,
EU,Europe,DEU,Germany,1991,All,Age_all,[All],21557.00000000,2.36566456,16.09450668,26.95153924,
EU,Europe,DEU,Germany,1992,All,Age_all,[All],19896.00000000,2.24701082,14.62683437,24.68654809,
EU,Europe,DEU,Germany,1993,All,Age_all,[All],20199.00000000,2.25116186,14.58802667,24.88198948,
EU,Europe,DEU,Germany,1994,All,Age_all,[All],21152.00000000,2.39097236,14.89544486,25.97823684,
EU,Europe,DEU,Germany,1995,All,Age_all,[All],22005.00000000,2.48759875,15.30200687,26.94676774,
EU,Europe,DEU,Germany,1996,All,Age_all,[All],22162.00000000,2.51029911,15.34357145,27.06124986,
EU,Europe,DEU,Germany,1997,All,Age_all,[All],22387.00000000,2.60196260,15.26770142,27.28401727,
EU,Europe,DEU,Germany,1998,All,Age_all,[All],22987.00000000,2.69679557,15.26059791,28.02301625,
EU,Europe,DEU,Germany,1999,All,Age_all,[All],22072.00000000,2.60796616,14.66703353,26.88867611,
EU,Europe,DEU,Germany,2000,All,Age_all,[All],23307.00000000,2.77862224,15.55807898,28.35828766,
EU,Europe,DEU,Germany,2001,All,Age_all,[All],21904.00000000,2.64368329,14.79533826,26.60196663,
EU,Europe,DEU,Germany,2002,All,Age_all,[All],20193.00000000,2.39911321,13.21031950,24.48161339,
EU,Europe,DEU,Germany,2003,All,Age_all,[All],21367.00000000,2.50214885,14.04338702,25.89306160,
EU,Europe,DEU,Germany,2004,All,Age_all,[All],20359.00000000,2.48805102,13.35971402,24.67719468,
EU,Europe,DEU,Germany,2005,All,Age_all,[All],19895.00000000,2.39633257,12.85492668,24.12557844,
EU,Europe,DEU,Germany,2006,All,Age_all,[All],19719.00000000,2.39999416,12.38817634,23.94075891,
EU,Europe,DEU,Germany,2007,All,Age_all,[All],21463.00000000,2.59479783,13.12538953,26.09082261,
EU,Europe,DEU,Germany,2008,All,Age_all,[All],23696.00000000,2.80612336,14.12479969,28.85541237,
EU,Europe,DEU,Germany,2009,All,Age_all,[All],23511.00000000,2.75129192,14.10187835,28.71580586,
EU,Europe,DEU,Germany,2010,All,Age_all,[All],23452.00000000,2.73088890,13.99454792,28.68484031,
EU,Europe,DEU,Germany,2011,All,Age_all,[All],22380.00000000,2.62574971,13.29632129,27.36636854,
EU,Europe,DEU,Germany,2012,All,Age_all,[All],23864.00000000,2.74430703,13.68333608,29.13180211,
EU,Europe,DEU,Germany,2013,All,Age_all,[All],25035.00000000,2.80088384,14.35809146,31.04322920,
EU,Europe,DEU,Germany,2014,All,Age_all,[All],25680.00000000,2.95731244,14.68192452,31.71055475,
