Indicator Code: CG0810
"Indicator Name: Neuropsychiatric conditions"
Export date: 5/11/2024 11:05:29 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: F01-F99, G06-G98 (minus G14), U07.0, X41, X42, X44, X45"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,CZE,Czechia,2010,All,Age_all,[All],1460.00000000,1.36647823,8.87044363,13.88195979,
EU,Europe,CZE,Czechia,2011,All,Age_all,[All],3272.00000000,3.06229410,17.48691212,31.17178473,
EU,Europe,CZE,Czechia,2012,All,Age_all,[All],3755.00000000,3.47077799,19.49732428,35.73030556,
EU,Europe,CZE,Czechia,2013,All,Age_all,[All],4065.00000000,3.72389154,20.42610096,38.67480426,
EU,Europe,CZE,Czechia,2014,All,Age_all,[All],4143.00000000,3.92088203,19.94955800,39.36423202,
EU,Europe,FRA,France,1990,All,Age_all,[All],23804.00000000,4.52374663,23.30930414,41.95639031,
EU,Europe,FRA,France,1991,All,Age_all,[All],23297.00000000,4.44018792,22.70222748,40.83224375,
EU,Europe,FRA,France,1992,All,Age_all,[All],23070.00000000,4.42352310,22.10451896,40.21013149,
EU,Europe,FRA,France,1993,All,Age_all,[All],24173.00000000,4.54155183,22.67280276,41.92741577,
EU,Europe,FRA,France,1994,All,Age_all,[All],24875.00000000,4.78397584,22.84555083,42.96237446,
EU,Europe,FRA,France,1995,All,Age_all,[All],25493.00000000,4.79536058,22.73674670,43.84828799,
EU,Europe,FRA,France,1996,All,Age_all,[All],25961.00000000,4.84550418,22.68807768,44.47295751,
EU,Europe,FRA,France,1997,All,Age_all,[All],27086.00000000,5.10749191,22.93433705,46.21403551,
EU,Europe,FRA,France,1998,All,Age_all,[All],29839.00000000,5.58779632,25.59548366,50.70124345,
EU,Europe,FRA,France,1999,All,Age_all,[All],32463.00000000,6.04008864,27.08197905,55.37618053,
EU,Europe,FRA,France,2000,All,Age_all,[All],37971.00000000,7.15286804,31.14904570,64.47159761,
EU,Europe,FRA,France,2001,All,Age_all,[All],39472.00000000,7.43251386,31.92001892,66.68401456,
EU,Europe,FRA,France,2002,All,Age_all,[All],40862.00000000,7.63575887,32.40692045,68.47050298,
EU,Europe,FRA,France,2003,All,Age_all,[All],45064.00000000,8.15881666,34.97680843,74.91332661,
EU,Europe,FRA,France,2004,All,Age_all,[All],39777.00000000,7.80830711,30.61827531,65.59174012,
EU,Europe,FRA,France,2005,All,Age_all,[All],43892.00000000,8.32050592,32.60018073,71.95892197,
EU,Europe,FRA,France,2006,All,Age_all,[All],44224.00000000,8.57133997,31.73001523,71.79495605,
EU,Europe,FRA,France,2007,All,Age_all,[All],45898.00000000,8.81746664,31.45934431,74.07290731,
EU,Europe,FRA,France,2008,All,Age_all,[All],48795.00000000,9.16382772,32.19885046,78.31654812,
EU,Europe,FRA,France,2009,All,Age_all,[All],50017.00000000,9.31073703,31.97011512,79.87907352,
EU,Europe,FRA,France,2010,All,Age_all,[All],51430.00000000,9.49635878,31.92932376,81.72268496,
EU,Europe,FRA,France,2011,All,Age_all,[All],53820.00000000,10.02929404,31.82298221,85.12530241,
EU,Europe,FRA,France,2012,All,Age_all,[All],58938.00000000,10.55381662,33.31411007,92.78787222,
EU,Europe,FRA,France,2013,All,Age_all,[All],58643.00000000,10.54671412,32.31730333,91.94319296,
EU,Europe,FRA,France,2014,All,Age_all,[All],57669.00000000,10.58888983,31.01776267,89.92587559,
EU,Europe,DEU,Germany,1990,All,Age_all,[All],22038.00000000,2.39167829,17.98130066,27.76808271,
EU,Europe,DEU,Germany,1991,All,Age_all,[All],22998.00000000,2.52379986,18.89614936,28.75314280,
